"Datum","Senaste","Öppen","Högst","Lägst","+/- %"
"2022-08-28","151,990","153,840","153,840","150,560","-3,56%"
"2022-08-21","157,600","159,150","159,150","155,850","-1,13%"
"2022-08-14","159,400","156,040","159,400","156,040","5,34%"
"2022-08-07","151,320","151,080","151,320","150,050","0,43%"
"2022-07-31","150,670","150,720","151,930","149,160","0,82%"
"2022-07-24","149,440","145,450","149,440","145,290","2,01%"
"2022-07-17","146,490","144,950","146,490","142,500","1,81%"
"2022-07-10","143,880","147,260","147,260","143,470","-2,35%"
"2022-07-03","147,350","142,370","147,350","142,370","5,09%"
"2022-06-26","140,210","139,370","141,940","139,370","2,27%"
"2022-06-19","137,100","136,370","137,520","136,370","0,31%"
"2022-06-12","136,670","142,040","142,040","136,670","-5,44%"
"2022-06-05","144,540","145,690","147,410","144,540","-2,07%"
"2022-05-29","147,600","148,220","148,220","146,180","3,12%"
"2022-05-22","143,130","141,710","143,130","140,770","1,35%"
"2022-05-15","141,220","145,990","146,360","141,220","-1,22%"
"2022-05-08","142,960","146,470","146,470","142,140","-3,42%"
"2022-05-01","148,020","146,660","151,380","146,660","-1,78%"
"2022-04-24","150,710","147,420","150,710","147,420","0,29%"
"2022-04-17","150,270","151,340","152,820","150,270","-1,27%"
"2022-04-10","152,210","152,350","152,350","149,930","-0,10%"
"2022-04-03","152,360","152,980","154,980","152,080","0,15%"
"2022-03-27","152,130","153,730","155,970","152,130","-0,43%"
"2022-03-20","152,790","151,520","152,980","151,520","2,02%"
