"Datum","Senaste","Öppen","Högst","Lägst","+/- %"
"2022-08-28","140,643","143,844","143,844","140,643","-4,65%"
"2022-08-21","147,502","149,478","149,478","146,283","-1,43%"
"2022-08-14","149,644","146,278","149,644","146,278","5,47%"
"2022-08-07","141,877","142,156","142,156","140,976","-0,12%"
"2022-07-31","142,051","142,129","142,993","141,108","0,45%"
"2022-07-24","141,412","137,268","141,412","136,983","2,29%"
"2022-07-17","138,250","137,155","138,250","134,706","1,38%"
"2022-07-10","136,362","139,873","139,873","135,962","-2,64%"
"2022-07-03","140,065","134,988","140,065","134,988","5,18%"
"2022-06-26","133,169","135,773","135,773","133,169","0,47%"
"2022-06-19","132,544","129,433","132,544","129,433","2,33%"
"2022-06-12","129,524","133,951","133,951","129,524","-4,95%"
"2022-06-05","136,274","137,663","138,622","136,274","-1,41%"
"2022-05-29","138,222","139,707","139,707","138,222","0,88%"
"2022-05-22","137,017","133,795","137,017","132,962","2,71%"
"2022-05-15","133,397","138,117","138,319","133,397","-1,59%"
"2022-05-08","135,556","138,607","138,607","134,789","-3,28%"
"2022-05-01","140,158","139,135","143,335","139,135","-1,61%"
"2022-04-24","142,450","139,308","142,450","139,308","0,34%"
"2022-04-17","141,966","142,473","143,686","141,966","-0,86%"
"2022-04-10","143,200","143,872","143,872","141,090","-0,67%"
"2022-04-03","144,172","144,799","146,491","143,697","0,13%"
"2022-03-27","143,982","145,144","147,480","143,982","-0,25%"
"2022-03-20","144,347","140,989","144,902","140,989","3,23%"
